S01	S02	S03	E01	E02	E03	I01	I02	I03	Y01	Y02	Y03	R01	R02	R03	S11	S12	S13	E11	E12	E13	I11	I12	I13	Y11	Y12	Y13	R11	R12	R13	S21	S22	S23	E21	E22	E23	I21	I22	I23	Y21	Y22	Y23	R21	R22	R23
1	99606.2056956791	43303.5810124805	-1121.97962854781	0	0	0	0	0	0	0	0	0	707.326775201213	403.406297329414	58.754137811436	47353.9723837437	26084.9814704971	3642.83953051316	0	0	0	0	0	0	0	0	0	73.6762518636579	42.3200208854185	6.29810751671873	11896.2038765581	12209.9788701133	5862.52581708384	0	0	0	0	0	0	0	0	0	0.0645169701851825	0.0431804597869828	0.00917535261475849
2	99708.2559414269	43361.7643135269	-1112.90855507127	0	0	0	0	0	0	0	0	0	604.728855678512	344.900577678971	49.62845459749	47354.0644536114	26085.0386539954	3642.85017919156	0	0	0	0	0	0	0	0	0	62.4271326906927	35.8082360943239	5.24528852463122	11896.2292814437	12209.9971837341	5862.5303649632	0	0	0	0	0	0	0	0	0	0.0418448111899601	0.0279749414890632	0.00590809329150098
3	99618.9678685577	43326.2550487731	-1112.31027652993	0	0	0	0	0	0	0	0	0	694.064306815439	380.372449799943	49.0008567324621	47354.0914456062	26085.0582029548	3642.85486067377	0	0	0	0	0	0	0	0	0	70.6473151411598	38.8589031769203	5.06821045197835	11896.2281581295	12209.9947804737	5862.52898762627	0	0	0	0	0	0	0	0	0	0.0352488840174337	0.0228026078600342	0.00442670456492086
4	99542.670404867	43275.9373859762	-1122.1632474417	0	0	0	0	0	0	0	0	0	771.070457446012	431.123882027048	58.9281437792672	47354.0121637756	26085.0020719018	3642.84174572939	0	0	0	0	0	0	0	0	0	79.1083342056916	44.4506111148253	6.17382535915021	11896.2664923162	12210.0234509253	5862.53618814594	0	0	0	0	0	0	0	0	0	0.0457430029558768	0.0301443337646818	0.00615008586492223
5	99604.2160013823	43317.6259825821	-1113.79140158223	0	0	0	0	0	0	0	0	0	709.142495579831	389.178554253672	50.5031283161469	47354.0874650563	26085.0554022995	3642.8554175209	0	0	0	0	0	0	0	0	0	71.4926090283843	39.3058562213373	5.13164908323708	11896.2231248877	12209.9935073587	5862.52980753211	0	0	0	0	0	0	0	0	0	0.0103038943969366	0.00664198173748395	0.00128241662341447
6	99576.3893638606	43297.1814243749	-1118.08909566001	0	0	0	0	0	0	0	0	0	737.151830526297	409.761455002116	54.8327080629527	47353.9063667776	26084.9428176331	3642.83419003415	0	0	0	0	0	0	0	0	0	76.1706670088335	42.612562207964	5.82398476678864	11896.216630573	12209.992106687	5862.53166052519	0	0	0	0	0	0	0	0	0	0.0692488030379446	0.0455615824236056	0.00920995587846638
7	99551.7033745538	43271.398855834	-1126.39923530078	0	0	0	0	0	0	0	0	0	762.088741433123	435.725826276074	63.1834183553858	47353.9585515004	26084.9729455782	3642.83838148011	0	0	0	0	0	0	0	0	0	77.7446273737361	44.6050341623984	6.53730061806837	11896.2824568745	12210.0376876943	5862.54223905468	0	0	0	0	0	0	0	0	0	0.0190262231610983	0.0124840881979368	0.0025207034734832
8	99734.5968309734	43367.4106184323	-1116.42461391465	0	0	0	0	0	0	0	0	0	578.397368345229	339.303955228148	53.1727180725924	47353.9924774978	26084.9976172352	3642.84353668796	0	0	0	0	0	0	0	0	0	59.2635786948884	34.8949051323139	5.52607887117212	11896.1313958854	12209.9327605061	5862.51758105485	0	0	0	0	0	0	0	0	0	0.0164301645138445	0.0110682204756916	0.00238886690431459
9	99526.9417523547	43269.7294931931	-1122.0329492922	0	0	0	0	0	0	0	0	0	786.777366009218	437.309402160232	58.7904519880876	47354.0287061134	26085.0164181695	3642.84637934095	0	0	0	0	0	0	0	0	0	81.0031790939267	45.2848095187521	6.20538192311772	11896.2291804224	12209.99775475	5862.53064065651	0	0	0	0	0	0	0	0	0	0.0563882154099926	0.0374439019773095	0.00778630696295295
10	99616.0876450949	43307.6226706719	-1121.88013251661	0	0	0	0	0	0	0	0	0	697.411834828765	399.342985431829	58.6472843531303	47353.9926761666	26084.9892321942	3642.83902024031	0	0	0	0	0	0	0	0	0	71.3104094369911	40.9928402037723	6.0914046531268	11896.2417374175	12210.0108904636	5862.53697725301	0	0	0	0	0	0	0	0	0	0.021141103357149	0.0140615760136795	0.0029438422200038
11	99586.4934400108	43291.2720224787	-1124.55917448305	0	0	0	0	0	0	0	0	0	727.025787024403	415.708058341309	61.3347570273452	47354.0852790027	26085.0495644426	3642.85025408541	0	0	0	0	0	0	0	0	0	75.4145593402955	43.3915085886748	6.52084507750201	11896.1960281144	12209.974989277	5862.52556160285	0	0	0	0	0	0	0	0	0	0.0517575597900304	0.0343942170296811	0.00718729467013301
12	99558.9551055543	43286.3498912816	-1120.76278079551	0	0	0	0	0	0	0	0	0	754.339601397678	420.454423026315	57.492914561724	47354.0722439645	26085.0405171084	3642.84860347732	0	0	0	0	0	0	0	0	0	77.086775470004	43.1504263615419	5.98162415281537	11896.2592221989	12210.0156304263	5862.53260230052	0	0	0	0	0	0	0	0	0	0.0340270613137129	0.0224359557185908	0.00459442684781725
13	99688.1522110426	43369.2730023699	-1104.51313614931	0	0	0	0	0	0	0	0	0	624.832714498718	337.301375781988	41.1832461214446	47354.1233670197	26085.0814997171	3642.86142373399	0	0	0	0	0	0	0	0	0	63.0418165195074	34.0973177477942	4.19122986443795	11896.2156528972	12209.9883019601	5862.52863138723	0	0	0	0	0	0	0	0	0	0.0195480032040627	0.0123222586154113	0.00222860082417722
14	99582.2407172601	43290.8862979393	-1123.88701681956	0	0	0	0	0	0	0	0	0	731.410546209306	416.161218027297	60.6691846350223	47353.9351394617	26084.9499395747	3642.82991730645	0	0	0	0	0	0	0	0	0	75.1153748695341	42.9385162201551	6.34634742575033	11896.2865610152	12210.0378271512	5862.53962784154	0	0	0	0	0	0	0	0	0	0.0336134311747907	0.0220892552705881	0.0044933532459011
15	99588.1728002708	43300.3515492905	-1120.01968173018	0	0	0	0	0	0	0	0	0	725.35708498269	406.599913083053	56.7770461804622	47354.0023110008	26084.9987538405	3642.84182167633	0	0	0	0	0	0	0	0	0	75.2605696221091	42.4846137091454	6.06360098549712	11896.2373297278	12210.0022339366	5862.53078735638	0	0	0	0	0	0	0	0	0	0.0710653733657137	0.0469415894317012	0.00964054429542931
