vac1daily	vac2daily	vac1dailyCum	vac2dailyCum
164	118.71428572	228	15925.57142821	6339.99999995
165	118.71428572	228	16044.28571393	6567.99999995
166	118.71428572	228	16162.99999965	6795.99999995
167	71	189.85714285	16233.99999965	6985.8571428
168	71	189.85714285	16304.99999965	7175.71428565
169	71	189.85714285	16375.99999965	7365.5714285
170	71	189.85714285	16446.99999965	7555.42857135
171	71	189.85714285	16517.99999965	7745.2857142
172	71	189.85714285	16588.99999965	7935.14285705
173	71	189.85714285	16659.99999965	8124.9999999
174	37.85714285	121	16697.8571425	8245.9999999
175	37.85714285	121	16735.71428535	8366.9999999
176	37.85714285	121	16773.5714282	8487.9999999
177	37.85714285	121	16811.42857105	8608.9999999
178	37.85714285	121	16849.2857139	8729.9999999
179	37.85714285	121	16887.14285675	8850.9999999
180	37.85714285	121	16924.9999996	8971.9999999
181	29.42857143	73.57142857	16954.42857103	9045.57142847
182	29.42857143	73.57142857	16983.85714246	9119.14285704
183	29.42857143	73.57142857	17013.28571389	9192.71428561
184	29.42857143	73.57142857	17042.71428532	9266.28571418
185	29.42857143	73.57142857	17072.14285675	9339.85714275
186	29.42857143	73.57142857	17101.57142818	9413.42857132
187	29.42857143	73.57142857	17130.99999961	9486.99999989
188	29	72.85714285	17159.99999961	9559.85714274
189	29	72.85714285	17188.99999961	9632.71428559
190	29	72.85714285	17217.99999961	9705.57142844
191	29	72.85714285	17246.99999961	9778.42857129
192	29	72.85714285	17275.99999961	9851.28571414
193	29	72.85714285	17304.99999961	9924.14285699
194	29	72.85714285	17333.99999961	9996.99999984
195	20.42857143	61.42857143	17354.42857104	10058.42857127
196	20.42857143	61.42857143	17374.85714247	10119.8571427
197	20.42857143	61.42857143	17395.2857139	10181.28571413
198	20.42857143	61.42857143	17415.71428533	10242.71428556
199	20.42857143	61.42857143	17436.14285676	10304.14285699
200	20.42857143	61.42857143	17456.57142819	10365.57142842
201	20.42857143	61.42857143	17476.99999962	10426.99999985
202	17.57142857	41.28571428	17494.57142819	10468.28571413
203	17.57142857	41.28571428	17512.14285676	10509.57142841
204	17.57142857	41.28571428	17529.71428533	10550.85714269
205	17.57142857	41.28571428	17547.2857139	10592.14285697
206	17.57142857	41.28571428	17564.85714247	10633.42857125
207	17.57142857	41.28571428	17582.42857104	10674.71428553
208	17.57142857	41.28571428	17599.99999961	10715.99999981
209	25.57142857	46.28571428	17625.57142818	10762.28571409
210	25.57142857	46.28571428	17651.14285675	10808.57142837
211	25.57142857	46.28571428	17676.71428532	10854.85714265
212	25.57142857	46.28571428	17702.28571389	10901.14285693
213	25.57142857	46.28571428	17727.85714246	10947.42857121
214	25.57142857	46.28571428	17753.42857103	10993.71428549
215	25.57142857	46.28571428	17778.9999996	11039.99999977
216	15.57142857	18.71428572	17794.57142817	11058.71428549
217	15.57142857	18.71428572	17810.14285674	11077.42857121
218	15.57142857	18.71428572	17825.71428531	11096.14285693
219	15.57142857	18.71428572	17841.28571388	11114.85714265
220	15.57142857	18.71428572	17856.85714245	11133.57142837
221	15.57142857	18.71428572	17872.42857102	11152.28571409
